"maturity","coupon","pclean"
2045-08-15,0.02875,80.309
2045-11-15,0.03,81.962
2046-02-15,0.025,74.6935
2046-05-15,0.025,74.5485
2046-08-15,0.0225,70.788
2046-11-15,0.02875,79.7505
2047-02-15,0.03,81.441
2047-05-15,0.03,81.381
2047-08-15,0.0275,77.6115
2047-11-15,0.0275,77.5775
2048-02-15,0.03,81.242
2048-05-15,0.03125,83.035
2048-08-15,0.03,81.148
2048-11-15,0.03375,86.8915
2049-02-15,0.03,81.162
2049-05-15,0.02875,79.277
2049-08-15,0.0225,69.6325
2049-11-15,0.02375,71.5595
2050-02-15,0.02,65.6695
2050-08-15,0.01375,55.575
2050-11-15,0.01625,59.4315
2051-02-15,0.01875,63.3335
2051-05-15,0.02375,71.2625
2051-08-15,0.02,65.225
2051-11-15,0.01875,63.157
2052-02-15,0.0225,69.2735
2052-05-15,0.02875,79.5455
2052-08-15,0.03,81.6495
2052-11-15,0.04,98.5465
2053-02-15,0.03625,92.2075
2053-05-15,0.03625,92.346
2053-08-15,0.04125,100.972
2053-11-15,0.0475,111.9755
